"Sentiment (1-negative, 2-neutral, 3-positive)"	Sentence
	This guidance includes approximately $550 million to $600 million in revenue from our acquisition of Tableau.
	"We ceded majority control of Baker Hughes, which resulted in a pre-tax loss of $8.7 billion."
	"Patrick Davitt Yes, thank you."
	So that really the also part of the business continues to be in high demand institutionally and to looking for some opportunities in the retail channel.
	"John Shrewsberry Hi, Betsy."
	"Thank you, Omar."
	"Significant opportunity from a top line perspective, but as you point out we need to deliver better profitability amidst the growth we're enjoying today let alone growth that's down the road."
	GM has achieved 2.4 billion and transformation cost savings in 2018 and is on track to realize our 2019 targets.
	Operator The next question will be from David Palmer of Evercore.
	"And then just more broadly with your zero mission future roll, how aligned is your labor partner with you on this goal?"
	Krista Bessinger Thank you.
	"And then, as you mentioned, we do see renewables negatively impacting our own MAX."
	So we're super excited about that.
	Non-accrual loans declined $377 million from the second quarter with lower non-accruals in both the commercial and consumer portfolios.
	"Operator, we'll take the next question please."
	"On a full year basis, the change in accounting did have a beneficial impact to non-GAAP operating margin of about 40 basis points in fiscal 2019 and the greatest impact was in Q2 due to seasonality."
	"Last quarter, I mentioned making investments to fill the next chapter of our growth around the world."
	"But maybe just also talk about the growth sale initiatives and the potential to improve that from even levels before the deal, to what extent can you do that through the institutional offering of the Oppenheimer products in the potential sale of Oppenheimer retail in Europe."
	Thank you.
	"Today, we’ve crossed another threshold."
	"The third one, which is smaller, but is still an important lever is marketing, the marketing is a great way to bring people to service, but again it all comes back to the product, because if we don’t give people a good experience when they get there, they may not come back as frequently as we’d like."
	Let me give some color on each of these areas.
	"Marc Benioff Let me address – hi, Keith."
	"I mean, a lot of these things will take time because you’re talking about long-term relationship with suppliers, but I expect we’ll be able to talk next year about even more savings from the efforts of the supply chain team."
	I'm curious as far as just your overall value perception.
	"Your question about APIs and software programmability, APIs is just one of the issues."
	"Flows in our legacy or byproducts low during the quarter, which we had expected, but they are stabilizing."
	And some of the applications’ amazing AI capabilities for image optimization enhancement support RTX.
	"That integration is underway, let alone the improvements that we've referenced."
	Jim Duffy Good morning.
	If you look at companies in a variety of industries they like to differentiate themselves by service and customer experience is a big component of that.
	I’m just trying to get a handle on what are the puts and takes between unit growth here when coupled with the very strong comp momentum in the quarter?
	Correct me if I'm wrong.
	That's why as Marc mentioned Salesforce is the number two most appealing job according to GlassDoor.
	"So, I think what we’re trying to do is, and first of all, there is no limitation."
	"The majority of that, we've expected as we planned out the year."
	That was our kind of soul app if you will.
	"So, I think what you see a little bit relative to the year-on-year comp is just that a strong first half, good year-to-date numbers and I think -- we think a year that on balance will come in as anticipated."
	"I think we've – it’s well in excess of sort of $100 million of investments just generally around the firm across a variety of growth engine areas that we've talked about in the past around China, around solutions, around factor-based investing."
	"But that is not necessarily a strategic call once and for all time, right?"
	Interest and other expense net was $6 million.
	"One example of this is making better use of list, a lot of people construct list around a topical area, so it includes a number of accounts that might fit a particular topic."
	Please see the risk factors contained in our 2018 annual report on Form 10-K and in our subsequent Form 10-Qs for a discussion of risks that may cause our actual results to vary from these forward-looking statement.
	"And but I think there's others that, we will look to see how it plays out."
	This is Dave.
	We are seeing encouraging early results from this new format.
	"If there’s an update in terms of how much money was saved in the third quarter, if there’s an outlook for the fourth quarter and what the visibility is for some of the supply chain work on fiscal 2020 to start contribute more meaningfully the margins overall."
	And then obviously it’s got to play a role in the financial model so that it’s continuing to move Chipotle forward.
	And what we feel really good about is the leadership that's now in place in North America.
	"And next, we incurred a $0.02 charge for the $5 billion debt tender, which reduces pre-tax interest expense by $150 million per year, generating positive economics."
	This is representing the work that we're doing with beverage innovation.
	And digital obviously is moving very fast.
	"You don't see it so much in these equipment and service numbers, but I think as we go into 2020, you're going to see improved margin and cash performance from these businesses ex the legacy Alstom-related issues."
	Your line is open.
	"Allen Parker Thank you, John."
	Thanks for joining us.
	That has yet to sort of get plugged in.
	And when you start to think about that it's the renewable volume ramp that Larry mentioned and talked about coupled with the Grid and Hydro project execution.
	"Sorry if that's a – if it was redundant and previously indicated, I just wanted to clarify."
	Please go ahead.
	That's just an incredible lean forward for Trailhead.
	Yeah.
	The question comes from the account of @BitcoinMunger.
	Can you share with us your vision for M&A as you look ahead and how you think especially now that you've kind of gotten into the on-premise market as well?
	"So, both of those plans are perfectly on track."
	Maybe two with respect to the advertising metrics.
	Just curious on how we can think about the long-term growth algorithm of the footwear business going forward.
	We continue to push control and accountability down to the businesses.
	"But clearly, whether -- pick the business right, pick the newspaper."
	Question-and-Answer Session Operator Thank you.
	We anticipate that’s going to continue to grow.
	"Sir, you may begin."
	"Thank you, Kevin."
	"Importantly, our new stores continued to deliver exceptionally high returns even as we extended our presence to new cities, while infilling established cities."
	"So continuing to make the case to advertisers, we're in $125 to $130 billion digital ads market that grows 20% a year, that they should launch more new products and services and invest more against those launches on Twitter that they should do more to connect with what's happening on Twitter."
	It sounds like the reduction of sales into the off-price channel impacted the growth rate of that category.
	"An archive of the webcast will be available on our website through Thursday, November 28, 2019."
	"Together, we look forward to a great year ahead and to sharing our results and our progress in future quarters."
	To explain the drivers we will start on page 16.
	"Operator From Melius Research, we have Scott Davis."
	"Walking from continuing EPS, we had $0.02 of losses, primarily from the unrealized mark-to-market of our remaining Baker Hughes investment and our Wabtec stake exit."
	You look at the numbers scenarios in China that are digital mobile scenarios.
	"I think, we are in turn planning conservatively here for the fourth quarter, just given those trends and some of the uncertainty in China right now around the relatively more short-cycle nature of Healthcare broadly, certainly in our business."
	"As you know, we don't provide information as to the portion of our reserves that's applicable to any particular litigation or other items and with regard to the DOJ and SEC investigations that began in 2006, we really don't have any update beyond what we said in our prepared remarks and what we previously disclosed in our last quarter 10-Q, our discussions with the DOJ and SEC are ongoing and when we have more information to disclose, we'll of course do so."
	"Equipment orders were down 4% organically, while services were up 3%."
	"Just, Ned, to kind of go back to that question on the auction market and sort of the changes that you saw, given that you talked about how just sort of it naturally adjusted and advertiser demand adjusted."
	"With more than 31,000 stores in 82 markets welcoming over 100 million customer occasions each week and enabling over one billion digital customer occasions per year, Starbucks is a part of our customers' everyday routines around the world."
	"The – obviously, we’re delight we’ve got 7 million users now in rewards program."
	Thank you to all our employees for all that you do.
	[Operator Instructions] I will now turn the call over to Simona Jankowski from Investor Relations to begin your conference.
	That is in turn driving traffic growth.
	"Importantly, digital remains highly incremental and we continue to see residual lift in delivery sales that lasts beyond any promotion."
	In China we posted 5% comp sales growth in Q4 including comp transaction growth of 2%.
	"I believe we are still in the early stages of our journey and we need to stay focused on our priorities and executing flawlessly to support our growth, while providing our customers with the experience they expect from Chipotle."
	The second part of your question has to do with synergies.
	"So by all accounts, we’re delighted with what carne asada is doing for the business."
	Thank you very much.
	"John Tower Taking the question, just going back to the digital piece of the business, with digital and specifically order ahead mix moving higher as a percentage of your sales, does this potentially open up more opportunities on the menu over time?"
	"Although we're excited about 2020 and where we're going, where we're driving, we're going to hold further comment on that until the first week of December."
	"And to your point, we are running those all out."
	It's really 2018 into this year.
	"The third area I wanted to address is Asia-Pacific, a region we remain incredibly excited and measured in our approach to growing the brand."
	"So all those things are going to contribute and although we revived it based on the decision we made, largely related to Detroit-Hamtramck."
	"While Dave will provide more color in our full-year outlook, it is important to note that this shortfall in sales to the off-price channel is a contributing factor to our updated revenue outlook for the full year."
	"One way to think about it is if you go back to the Super Bowl, we had 30 of the 38 advertisers from the Super Bowl on Twitter at the same time, but there are 8 to whom we still need to make the case, that they ought to be on Twitter."
	And in China what you see is the consumer base in China is much more digitally savvy than any other market in the world.
	"Beyond carne asada, we are also testing queso blanco, salads in quesadillas."
	"And I think the investments we've made that Dave alluded to, which has been expanding the China office and also putting our new Hong Kong headquarter in place, has really enabled our leadership teams there to continue the work that we're doing to really penetrate the market through category and also distribution in terms of opening stores."
	"Well, it was a bigger move than was expected, and I am always -- I am reluctant to say that it could never happen again, but the way we estimate the customer response to their in the moneyness for a refinance given what we know about -- what type of cohort they are following is the basis of how we estimate that, and it happens -- it's been happening at a faster pace, and so we think we have captured that in this valuation adjustment."
	"Now, it is my pleasure to hand the conference over to Mr. John Cummings, Senior Vice President, Investor Relations."
	"So, you should expect also our gaming business to continue to grow to reach that full normalization by the end of Q3."
	We also had a modest $50 million reserve build compared with the $150 million reserve release last quarter.
	And how do we win?
	"After which, we will take your questions."
	"Thanks, Loren."
	Thank you for joining.
	And I'll let Marc to answer the rest of the question.
	These GPUs delivered a performance boost of up to 24% from our initial Turing GPUs launched a year earlier.
	"And then we’ve got other indications where when we’ve added additional access like the Chipotlane, you get well beyond 20%."
	We see what's happening with pork supplies throughout the world.
	"At the center of this pursuit, the very reason we exist is our mission."
	"One follow-up, if I may, on the reduced sales to off-price now planned for the year."
	"So, we are continuing to invest on this and you'll see more midsole technologies come to bear in 2020 as well going forward."
	[Operator Instructions].
	Brian Niccol Yes.
	Everybody knows the Fourth Industrial Revolution is underway.
	We expect our diluted EPS to be at the high-end of our previously given range of $0.33 to $0.34 which includes about $0.01 of negative impact related to the performance of our licensee in Japan.
	We saw some smaller benefits from higher connected fitness mix.
	John Shrewsberry So we're not currently forecasting over our horizon to quite hit that level.
	"During its initial month on sale, customer demand greatly outpaced available supply and we are doubling our production this month."
	"That said, I would like to highlight some anomalous items that impacted our year-over-year margin performance, four headwinds and one tailwind."
	This number excludes increases in the pension deficit due to lower interest rates as accounting rules only require an annual re-measurement of that liability at year-end.
	"So maybe what gives you confidence that you aren’t hitting some sort of ceiling in that, the consumer doesn’t want to transact more than they are in digital channels."
	"And overall, if you look at the levels we're seeing in 2019 for spare engine shipments they are up over 2018, but we expect them to be about flat as we go into 2020."
	"The environment is more challenging than just a few months ago, but the entire team is focused on our execution, both over the short and long-term."
	"We walked the aisle, in Shanghai."
	We are improving our financial position and expect to make significant progress toward our Industrial leverage goal of less than 2.5 times net debt-to-EBITDA by the end of 2020.
	"Moving to the rest of the P&L, Q2 GAAP gross margins was 59.8% and non-GAAP was 60.1%, up sequentially, reflecting higher automotive development services, a favorable mix in gaming and lower component cost."
	"And that’s where we see the excitement and really what’s going to be the force behind, you can see the growth of the organization."
	How much of that increase in corporate did come from spare engines to GECAS?
	"Saul Martinez Okay, but the math is right, I guess the math is right that 6% would be in the 11 billion or so range for the fourth quarter on a reported basis?"
	"We also announced plans to pilot, next year, Wells Fargo Digital Cash, which is designed to enable us to complete internal booked transfers of cross-border payments running on our first distributed ledger technology platform."
	"In addition to Cruise, GM and Honda continued their joint development of a new purpose built shared autonomous vehicle."
	This lowers our EPS forecast by $0.05 and our restructuring expense forecast by about $200 million with no material change to our outlook for organic growth margin expansion or Industrial free cash flow.
	And at the same time it seems like the Amazon is hurting some of the others whether it would be Sears or Barneys or Nordstrom or the GAP or others.
	Actually that number is 17.6 million.
	"It is not an area where we've seen as much strength in the recent past, as we continue to work to come out with a new version of it, we think that that will give us, not just a better opportunity around mobile application promotion, but also around more direct response advertising more broadly because the same work in helping people launch campaigns faster, around doing better targeting, around more compelling formats and ultimately fewer impressions to realize their objectives are the same things that should help with more down the funnel advertising."
	I'm just curious if that continues to grow in the U.S?
	"Comp sales grew 11% in the quarter, which includes a 10 basis point reduction as a result of deferred revenue from our Rewards program."
	Thank you for your participation.
	So we've been very purposeful to be – I think very measured in how we go about ramping up our new unit development.
	"Itay Michaeli But just lastly on Cruise, I think back in July, Cruise mentioned they would accelerate testing and validation in the balance of 2019."
	Thanks.
	We estimate the calendar year EPS diluted adjusted impact to be approximately 4$2 per share and adjusted automotive free cash flow impact to be approximately $5.5 billion including the impact of working capital unwind.
	"And third, with the Deep Brew and our predictive analytics, we're going to be able to determine if a machine needs preventative maintenance on it before it breaks."
	"Jim Duffy Okay, great."
	"Yes, sure."
	"In the U.S., I think in that particular market, we've had digital flywheel and the active rewards member growth for several years now."
	"Erinn Murphy Great, thank you both for that response."
	"As it pertains to earnings, we're keeping our EPS outlook at $0.55 to $0.65 even after adjusting for Baker Hughes which is largely due to GE Capital earnings."
	"We expect revenue to be $2.9 billion, plus or minus 2%."
	"So people are very much in tune with the idea of food with integrity, real culinary, real ingredients, cooking done right in front of them, as well as some new product menu news around Carne Asada."
	Edward Yruma Hey.
	"At Renewable Energy, we're well positioned to capitalize on the energy transition."
	So look what we think are fundamental strengths of our organization.
	We currently estimate that the impact of the adoption of CECL at the beginning of next year will be a reduction in our allowance of approximately $1.4 billion.
	"Youssef Squali Great, thank you."
	"And maybe just comments about how historically this is a business that really spent away a lot of the upside, so you'd get fits and starts and operating leverage, but it never really stuck?"
	"First, looks like the adjusted free cash flow with the adjustments you're making would have put this year's free cash flow at $5.5 billion to $6 billion, if it wasn't for the strike."
	The laptop business continues to be a standout growth driver as OEMs are ramping a record 100-plus gaming laptop models ahead of the back to school and holiday season.
	I will now turn the call over to Kevin.
	Any color there on international would be helpful?
	Jeff Sprague Thank you.
	"This partial redemption will reduce the amount of our quarterly preferred stock dividends by approximately $23 million, starting in the fourth quarter."
	But I think there is plenty of opportunity for us to grow from where we are today and what we probably will do in 2020.
	"These uncertainties are detailed in this morning's press release and documents filed regularly with the SEC, all of which can be found on our website at about.underarmour.com."
	We're delighted with the performance of the business this past year but it's -- and we certainly are optimistic about our ability to sustain strong performance into fiscal 2020.
	So I'm not surprising as the unit economics continue to improve.
	"And we believe that, as we turn the corner into 2020, we're going to be even more well positioned to benefit from the executional aspect of putting the play together, now supporting also with a little bit more purposeful and heavy up marketing effort."
	This is tens of millions of people who are creators.
	"Along with ongoing cost efficiencies, we're taking this opportunity to proactively invest back into the brand through increased marketing spend, giving us a head start on 2020 and a deliberate shift from defense to offense for this brand."
	I guess what's going to I guess prevent you from making that shift at some point?
	"Commercial real estate loans declined $2.2 billion from the second quarter with declines in both commercial real estate mortgage and commercial real estate construction loans reflecting increased market liquidity, higher refinancing activity, and continued credit discipline."
	Thank you.
	"We talked about steam power conversion, but I think the team is making good progress."
	"By staying disciplined and executing against this plan, we put ourselves in the best position to reignite growth to unlock the full potential of the Under Armour brand."
	Let me start and I’ll turn it to Jack on the on-boarding question.
	Thanks.
	"But programming isn’t as simple as a PowerPoint slide, I guess."
	Operator Your next question comes from the line of Vivek Juneja with JPMorgan.
	Your line is open.
	We currently have 7 million enrolled members and have only scratched the surface on database marketing.
	"John Glass Okay, that’s helpful."
	And that’s the reason why we test these things.
	"Also, we received notification of a recent $100 million when into the newly launched OFI emerging markets local debt fund on our cross-border fund range in EMEA."
	"And then, perhaps more specifically, on the North America backdrop as part of the driver of the lower guide, can you help us perhaps explain what's changed since we spoke last quarter in terms of outlet traffic or in terms of that online conversion which is weighing on sales growth a little bit?"
	I’m so proud of the collective efforts of our teams rolling out this new premium steak.
	And it was a combination of both.
	"The first is, we saw a real breadth in terms of DAU growth, we grew DAU double-digits in all 10 of our top 10 markets and we were thrilled that the improvements that we’re bringing to the service are being felt by people all over the world, people who are new to Twitter, people who have used Twitter in the past, but have use it less frequently, both continue to be real opportunities in areas where we’ve had success."
	"And while there are some dynamics in and around Healthcare that I mentioned earlier say in China, I think by and large, again given the nature of Healthcare, while we have some short-cycle exposure to a degree, it's far less than most businesses."
	"But again, the team there is making great progress as well."
	"But more importantly, in addition to that, we’re seeing that AI is – the wave of AI is going from the cloud to the enterprise to the edge and all the way out to the autonomous systems."
	A few highlights for me and Ned before we get to your questions.
	I think the quantum fade over time.
	This is our vision that really is at the heart of what's happening at the Fourth Industrial Revolution.
	"Just wanted to drill that down on the potential recoup, some of the loss production took on the T1 pickup truck side in the 2020."
	In Australia we expanded with ANZ Bank [ph] and form new relationships with Ramsay Health Care and the Australian Department of Environment and Energy.
	This was my decision and the culmination of a rigorous approach to succession planning in partnership with our Board of Directors.
	"And therefore, we are making targeted investments to elevate the partner experience, with clear evidence that this in turn elevates the customer experience and drives growth."
	And we intend to build on this momentum in the year ahead.
	Looking at Healthcare.
	Obviously renewables is an important business.
	"Larry Culp Hey Josh, good morning."
	Next question please.
	Part of the reason that we were able to talk about that client on the institutional side and a lot of the other pipeline is really the result of that investment that we made a number of years ago in solutions.
	Does it go back to prior levels?
	We've seen companies like Target and Wal-Mart and Home Depot doing well.
	"And depending on where you are in the world and what channel you're in, we're more or less successful with that, and it depends a lot on the type of inventory that we have in the channel."
	Operator Your next question comes from the line of Adam Jonas with Morgan Stanley.
	"And then I guess, the second question, Colette, is of the $300 million growth into October, it sounds like Switch is pretty flat, but I’m wondering if you can give us maybe some qualitative sense of where the growth is coming from, is it maybe like two-third gaming and one-third data centers, something like that?"
	"Every month, we publish new optimization and performance improvements to CUDA-X AI libraries, supporting every AI framework and development environment."
	"There's a couple reasons, why we feel confident about our future in what we've been doing with the beverage innovation, the work we've been doing with in-store experience and our digital engagement."
	I'll take it a step back maybe and sort of reflect on what it means of where we find success.
	"Those would be things like our global equity suite, things on the global fixed income side, muni bonds to mention kind of three very specific areas."
	"However, we did mentioned in my remarks that it is doing exceptionally well in South America because it's at the heart of the market and the biggest segment."
	"thanks, Jim."
	Could you give the number what that is this quarter?
	"We implemented a global operating model and creating the four regions with APAC, EMEA, Latin America and North America."
	John Shrewsberry Very close.
	"And then Loren, maybe just on the fee rate, so you got to bump this quarter with Oppenheimer, the trend over the past couple of years has been a little bit more on the negative side."
	Our next question comes from Randy Konik with Jefferies.
	"Allen Parker Yes, the whole process of account closures is complicated in any financial institution because there are situations where people close their accounts voluntarily, whether they call a call center or they walk into a branch, and there are also situations where accounts have to be closed for legal or regulatory reasons, and there are a variety of considerations that go into how that's done, and we're going through very carefully and looking at all those considerations and coming to the conclusion as to the changes, if any, that we ought to make with respect to the way that we've handled ourselves in the past."
	Glenn Schorr Okay.
	It looked like Gas Power lost about $100 million of EBIT in Q3.
	"Is that in the 3Q number, which I guess would imply kind of maybe the smaller order sizes are pretty small in the quarter?"
	"Healthcare Systems revenue was up 3% organically with strong growth in Japan and Latin America, partially offset by pressure in China and the Middle East."
	Our press release was issued this morning and the conference call materials are available on the GM Investor Relations website.
	"The second piece, the transactional book, we are seeing revenue down."
	It's a little bit harder of an environment for them to be putting capital to work because asset prices are so high.
	"Over this past year, we have been dialling up our in-house capabilities and investments in AI with an initiative we call, Deep Brew."
	"The full year, we're still driving hard as far as investments in DTC expansion, new APAC office investments, APAC and LatAm SAP investments, all well within our investor day operating principle range of 3% to 5% of revs."
	You may now disconnect.
	"He's running that business himself in addition to looking after the rest of the portfolio, brought in a new CFO from the outside, Glen Ferguson."
	"Finally, at this juncture, we foresee minimal impact from foreign currency movements in fiscal 2020."
	I'd like to turn the conference back over to Brian Niccol for any closing remarks.
	I'm noting that you're remaining debt matures in 2021 and 2024.
	We are now estimating savings of $501 million.
	"Ashish Kohli Hello, everyone, and welcome to our third quarter 2019 earnings call."
	That really is one market where there's late cycle behavior.
	We've also made significant progress at our transformational cost initiatives.
	But when I talk to the CEOs of all the major companies in the world that's what they need to transform is all of the above.
	All participants will be in a listen-only mode until the question-and-answer session.
	And software still continues to be improved on it.
	So I first want to clarify what's happening with breakage.
	Operator From JPMorgan we have Steve Tusa.
	"And this quarter, just very similar to what we will see going forward, is mix is the largest driver, what drives our overall gross margins and our gross margin improvements."
	We believe our core value propositions of launching something new and connecting with what’s happening on Twitter continue to resonate with advertisers and a slower business over this summer was in part due to a relatively lighter slate of big events and launches in July and August compared to 2018.
	"At Healthcare, we've got biopharma growth and continued cost control at HCS."
	Operator The next question is from Sharon Zackfia with William Blair.
	"We’re on track with our 2019 target of $2 billion to $2.5 billion, achieving $1.9 billion year-to-date and $800 million in the third quarter."
	"Over 80% of our capital spending in fiscal 2020 will be allocated to where we see significant return opportunities within our Starbucks retail portfolio, new stores and strategic store-related initiatives including renovations of existing locations."
	"In the first half of this year alone over 72,000 new job postings for Salesforce jobs were posted on just the top two job sites."
	And we think that's only going to be a trend that will continue.
	You may also hear us refer to amounts in accordance with US GAAP.
	"And so, the way that we balance that and that we work together tirelessly with each other on communication and making sure that we're aligned, but also making sure that Patrik has the freedom and the ability to lead and do the part that he can, running the day-to-day aspects of the business and really running and managing the business."
	"Year-over-year, industry vehicle sales declined nearly 11% in the quarter."
	"So a lot of new light and medium users, and then we're seeing really nice behavior associated with all those various cohorts."
	Equipment revenue was up 6% and services revenue was up 62%.
	"And I guess similarly, with digital, a lot of commentary there."
	"So, I saw that you guys at Gartner ranked you guys, Salesforce as a leader in low-code and in addition you're doing really well in Decision Support with Einstein."
	Kevin Plank Yeah.
	So it’s a relatively modest investment.
	"I'll tell you that I think that we are rapidly heading towards this Fourth Industrial Revolution and that this digital transformation is hitting every industry, and retail certainly is one of the major industries that is really been taken the stand and deliver, and you are seeing a bifurcating between those organizations who are ready for this transformation and those who aren't."
	Chris McNally The reversal of working capital?
	We do expect the rest of our platforms to likely also grow.
	"It’s the same $75,000 on a free standard, but a free standard just cost more than an end-cap."
	Can that happen sometime – later this year?
	"And my second question, obviously you can't speak for the new CEO."
	Paul Lejuez.
	"Andrew Charles Great, thanks guys."
	"Number one, it's overlapping some unusual benefits that we realized in fiscal 2019."
	So that can have a different kind of impact.
	Both these rates are lower or below our full year guidance range due to the recognition of excess tax benefits on stock-based compensation during the quarter.
	"John Shrewsberry Yes, so my expectation is that deposit costs will be cheaper in the fourth quarter reflecting what you described in terms of kind of the burning out of the higher cost deposits that got layered in before the Fed began to ease."
	Jeffrey Bernstein Great.
	"I mean I think it's perfectly set up for him to deliver, so Bret you want to hit it."
	"I think we like the renewables space broadly, and we're really trying to fortify the position we have both in offshore wind, you see that with the step up in R&D the introduction of the Haliade-X, but also other aspects, including hydro where frankly the businesses isn't operating to its full potential today."
	Thanks.
	"Larry Culp John, I think that obviously, we didn't come into this year expecting what has played out in that regard."
	Is it a matter of the throughput or is it a matter of the supply being a little more difficult?
	"Our balance sheet remains strong with cash and investments totaling $844 million, as of September 30."
	"So, I think when you look at all those things in 2020, we’ll have more color for that as we do that February earnings call for Q4, but those are the things that we’re seeing right now that we think we’ll carry into 2020."
	"So, we’ll figure out exactly the right pacing and sequencing and whether or not it’s something we want to have permanently in the business or if we continue to use it more as like a seasonal item."
	"Maybe talk China specifically, progress there."
	"When you think about the full year, North America, we expect to be landing down slightly on the full year versus international, which should be up at a low double-digit rate."
	"In addition to that, we've seen working capital and sales allowance and policy and warranty and so on timing items are driving the remaining amount there."
	We also expect Q3 GAAP diluted loss per share of $0.21 to $0.20 and non-GAAP diluted EPS of $0.65 to $0.66.
	Dhivya Suryadevara Yes.
	But still some work to be done there on both the model and how we continue to introduce Chipotle in the new markets.
	"They also want to learn about Salesforce culture and our values and how we can help them drive success with their customers, their partners and their employees."
	"Scott Siefers Okay, perfect, thank you."
	You see it showing up in sports marketing.
	"I think this is part of the process we've had in the go-to-market of truly setting up this funnel of technology and innovation that points toward specific date where we can either, A, launch or announce building that franchise with things to be done, like Curry, Rock product, HOVR, our overall training line, and then also being able to do it and talk about it through amplified moments of things like building spacesuits through the new Virgin Galactic program and taking eight technologies we have in our in-line commercial products that we're demonstrating are capable of going to space."
	"And how do you program such a computer across multi-GPU, multi-node?"
	We are fortunate enough because of our culture and the type of company and our values to be a destination company for talent.
	"From a raw material and tariff perspective to your point, I said this before in prior quarters, there's puts and takes, it's hard to look at just one number and paint it all with the same brush."
	Thanks.
	"Our results, press release, SEC filings and a replay of today's call can be found on our IR website at www.salesforce.com/investor."
	"So with that, I will turn it over to Dhivya."
	And it is growing very nicely.
	"And then moving into Q4, we’ve got a little bit of a challenge."
	Jen-Hsun Huang SUPER is off to a great start.
	We opened 25 new restaurants in the quarter bringing our total openings for the year to 60.
	We normally see obviously a pickup in shipments so therefore working capital draws down.
	Please go ahead.
	"And we're seeing morning and lunch day part increasing, so, very optimistic about that."
	And then I had a follow-up.
	We launched four flavors in August and we earned about 10.4 billion impressions as we made that announcement.
	"First, fiscal 2019 was a very good year for Starbucks financially, reflecting sustained upward momentum in our business."
	But what is consistent across both and is an important part of our strategy going forward is continuing to make those strategic investments in our business that strengthen key points of competitive difference and help us to sustain top line growth for the long term.
	"So, those amounts are not dramatic, but they're not that we want to note and give extra color around that and we're going to continue to drive forward and, hopefully, we can continue to operationally improve each month as we move forward."
	"So just to reaffirm, that Global Coffee Alliance became EPS accretive in fiscal 2019 which is faster than we had originally expected when we completed the transaction."
	I wonder if you could just help us with kind of the timing dynamics that were at play here.
	Interest and other expense net is planned at approximately $30 million and our effective tax rate is unchanged at approximately 22%.
	Your line is now open.
	"And every one of these companies needs a strong platform like Demandware, but I'll tell you it's more than that, it means that they have a real Customer 360 because once that customer actually gets to the store you want to know everything about them in terms of a 360 experience."
	"That's going to be quarter-to-quarter John, it's going to vary based on seasonality and so on and so forth."
	I’m pleased to announce that carne asada is the latest item behind Lifestyle Bowls and our Rewards program to be successfully validated through this process and all three are meeting or exceeding our expectations.
	"The majority of the beverage growth was driven by our cold platform, which grew across all dayparts led by cold coffee, refreshment and tea."
	Could you give us some color on what initiatives you might be able to pursue or timing?
	Seasonality - more pronounced seasonality than we had anticipated in July and August would be on top of that.
	And David from a China standpoint I agree with what Kevin's comments were around the Chinese consumer and their digital capability and the savvy that they have.
	Please go ahead.
	Jared Orr Hi.
	"Hi, Omar."
	"Just trying to understand sort of the thought process of what, how to size the labor for us going forward?"
	And then they can also use it on-prem if their usage really grows significantly.
	We also have bigger e-commerce events that are normally in Q2 and Q4 as well.
	"And, some will play a bigger role in traffic driving than others and that’s why you got to have a pipeline of different products to play a different role in the business."
	Glenn Schorr Thank you.
	"But as you can well appreciate, we're working very closely with Boeing, very closely with our carrier customers to prepare for that safe return to service not only with respect to the planes and the engines that have been delivered, but those that are in inventory or on the production line today."
	"So we're delivering the full synergies, 105% of the synergies effective this quarter, so pretty much all that kind of wait for it to come has gone."
	And I believe that we started that.
	Second is DTC.
	"Finally, and Ned will explain more on this, revenue."
	"So, before I wrap it up, I'd be remiss to not talk about the incredible progress we continue to make in inventory management."
	Question-and-Answer Session Operator [Operator Instructions] And your first question comes from the line of C.J.
	Now the OEMs were so excited about it.
	"I know you're not guiding to 2020, but just maybe contextualize how much the improved service level is showing into 4Q, so we could start to think about, I guess, our 1Q estimate correctly."
	"So I guess what I will say, and I'll turn it over to John to talk about some of the financial impacts."
	All of those really want to be edge computing systems and edge inference systems.
	This is driven by debt issuances totaling $5 billion in the past 14 months combined with what we expect to issue this fiscal year.
	"From a brand and storytelling perspective, where seamless physical and digital connectivity is table stakes for our consumer engagement, we have been working diligently to better activate our assets to drive the highest returns."
	We continue to be really excited about the opportunity in Japan.
	"And the combination of Field Service Lightning which grew 100% by the way year-over-year in the quarter and Click Software is very, very compelling."
	So – and what we've seen is the response has been positive to both messages.
	"So, when we think about other brands that are coming up or entering into the marketplace in a category or in a space, there's an opportunity today, of course, to do that more easily than ever before."
	"We also formed within Consumer Banking, a new Enterprise Customer Excellence Group that will, over time bring together functions from across the company and give us broader insight into the customer experience."
	"The strategic partnership will enable Volvo Group to develop a wide range of autonomous driving solutions for freight transport, recycling collection, public transport, construction, mining, forestry and more."
	So we’re definitely confident that we are far from the ceiling.
	Thanks.
	"Pat Grismer Certainly, so John, what I'd like to highlight is what is driving the difference between our total revenue growth guidance for fiscal 2020, and our long-term growth model."
	Please go ahead.
	"Two quick questions, one just on MSR revaluation, I mean I realized that there was some pre pays in the quarter, and I know that you guys are really good estimating that."
	And why is renewables so important?
	"Orders were mainly driven by onshore, up 19% including $500 million of Cypress orders and the offshore EDF deal of $700 million."
	"In terms of the revised transformational restructuring savings, the $4 billion to $4.5 billion, does that include the productivity initiatives you've outlined?"
	"Particularly, the work that we've done with Nespresso is paying dividends."
	Please be advised that today's conference is being recorded.
	The four headwinds were 70 basis points from streamline-driven activities; 50 basis points from U.S. tax reform-funded investments; 20 basis points from Siren Retail; and another 20 basis points from our onetime investment in the Chicago leadership conference.
	There is a Cruise labor force.
	Why is progress down versus the backlog up?
